,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
210,Troy Franklin,DEN,WR,195.45,226.90,171.03,168.00,213.50,-,212.80,326.90,188.00,,0.04,,
211,Jake Elliott,PHI,K,-,229.10,168.98,-,-,129.20,434.00,461.70,-,,0.04,,
212,Chase McLaughlin,TB,K,334.90,230.40,168.79,-,-,142.50,316.80,315.00,-,1.20,0.16,,
213,Malik Washington,MIA,WR,186.38,232.70,170.09,127.47,200.56,-,205.20,427.20,195.50,2.95,0.05,,
214,Aaron Rodgers,PIT,QB,254.37,233.60,169.36,126.89,191.62,117.70,155.00,375.70,-,5.25,0.26,,
215,Cooper Kupp,SEA,WR,241.85,233.70,168.87,174.06,233.47,-,257.00,370.40,-,2.78,0.11,,
216,Jacoby Brissett,ARI,QB,241.32,235.30,170.03,115.14,176.44,-,152.80,359.90,-,5.29,0.20,,
217,Germie Bernard,PIT,WR,251.49,236.10,170.17,31.53,242.74,-,240.70,305.20,119.50,7.57,0.09,,
218,Brandon Aiyuk,SF,WR,211.95,237.40,170.70,187.79,205.76,132.40,250.70,381.50,159.50,1.60,0.04,Reserve-DNR,Knee - ACL + MCL
219,Ryan Flournoy,DAL,WR,184.57,238.20,170.15,160.44,194.82,-,204.20,402.60,-,1.78,0.22,,
220,Greg Dulcich,MIA,TE,209.63,239.00,170.37,92.74,215.56,134.50,183.10,453.70,-,2.54,0.28,,
221,Calvin Ridley,TEN,WR,198.04,240.80,167.28,174.50,221.38,-,251.10,320.80,266.00,2.72,0.11,,
222,Ray Davis,BUF,RB,200.77,241.50,170.87,168.35,213.59,-,213.00,384.50,241.50,,0.06,,
223,Jaylen Wright,MIA,RB,289.52,242.30,170.13,183.67,231.53,-,258.30,516.90,244.00,,,,
224,Shedeur Sanders,CLE,QB,278.49,242.60,169.36,170.88,238.92,-,163.30,368.60,-,,0.02,,
225,Chris Bell,MIA,WR,304.19,244.30,170.83,33.51,247.05,-,243.00,372.70,144.00,8.57,0.03,NFI-A,Knee - ACL
226,MarShawn Lloyd,GB,RB,274.03,245.30,170.65,149.03,222.32,-,263.10,499.30,-,3.26,0.02,,
227,Ted Hurst,TB,WR,253.42,246.10,170.21,38.02,249.85,-,249.60,331.80,200.00,5.89,,,
228,Demond Claiborne,MIN,RB,334.59,247.50,170.25,45.87,222.22,-,254.50,383.50,251.50,3.01,,,
229,Jaydon Blue,DAL,RB,213.27,248.40,170.00,157.12,220.43,-,253.90,367.60,218.00,,0.01,,
230,Sean Tucker,TB,RB,246.88,249.50,170.18,161.18,207.38,-,214.00,347.40,238.00,1.83,,,
231,Trey Benson,ARI,RB,310.11,250.20,169.94,-,245.38,-,194.90,311.40,141.50,,,Ques,Knee
232,Jake Tonges,SF,TE,267.65,251.20,170.87,172.08,228.83,-,206.80,440.00,233.50,1.90,0.04,,
233,Pat Freiermuth,PIT,TE,202.57,251.70,168.92,155.88,220.73,126.40,235.80,474.40,242.50,2.14,0.23,,
234,Darnell Mooney,NYG,WR,219.93,253.40,170.46,-,225.47,-,260.10,445.60,263.50,1.87,0.19,,
235,Elic Ayomanor,TEN,WR,286.18,254.90,170.02,182.38,247.95,-,269.60,425.50,229.50,,0.01,,
236,Elijah Sarratt,BAL,WR,337.04,255.00,170.10,45.90,259.48,-,259.00,368.30,152.50,3.72,,,
237,Kaelon Black,SF,RB,323.63,256.20,170.14,42.99,226.43,-,245.70,396.00,249.50,2.29,0.01,Ques,Thigh
238,Emanuel Wilson,SEA,RB,198.21,257.20,170.48,-,198.19,-,255.80,438.00,193.50,1.41,0.02,,
239,Colby Parkinson,LAR,TE,200.45,258.30,170.97,129.89,218.94,-,186.50,337.00,268.00,1.99,0.05,,
240,Garrett Groshek,FA,FB,-,259.00,-,-,-,-,-,-,-,,,,
241,Ben Skowronek,PIT,WR,-,260.00,169.95,-,-,-,-,-,-,,,,
242,Jam Miller,NE,RB,-,260.50,169.98,61.47,241.67,-,640.50,-,272.00,,,,
243,Travis Koontz,FA,TE,-,262.00,-,-,-,-,404.50,-,-,,,,
244,Tyrell Shavers,BUF,WR,-,263.00,169.97,-,-,-,647.50,-,-,,,PUP-P,Knee - ACL
245,Austin Reed,FA,QB,-,264.00,-,-,-,-,-,-,-,,,,
246,Tyson Bagent,CHI,QB,-,265.00,169.93,-,247.45,-,350.50,-,-,,,,
247,Kyle Trask,FA,QB,-,266.00,169.99,-,-,-,-,-,-,,,,
248,Kellen Mond,FA,QB,-,267.00,-,-,-,-,-,-,-,,,,
249,Jamie Newman,FA,QB,-,268.50,-,-,-,-,-,-,-,,,,
T250,Cam Akers,FA,RB,-,269.50,169.99,-,-,-,-,-,-,,,,
T250,Derek Carr,NO,QB,-,269.50,170.01,-,241.53,-,-,-,-,,,Reserve-Ret,Personal
252,Camden Brown,DAL,WR,-,271.00,-,-,-,-,-,-,-,,,,
253,Blaine Gabbert,FA,QB,-,272.00,-,-,-,-,-,-,-,,,,
254,Malik Turner,SF,WR,-,273.00,170.03,-,-,-,-,-,-,,,,
255,Kolbe Katsis,DEN,WR,-,275.00,-,-,-,-,-,-,-,,,,
T256,Noah Brown,FA,WR,-,278.50,170.03,-,-,-,-,-,-,,,Ques,Ribs
T256,Jared Scott,FA,TE,-,278.50,-,-,-,-,396.00,531.00,-,,,,
258,Mante' Morrow,LAC,WR,-,281.00,-,-,-,-,-,-,-,,,,
259,Kadarius Calloway,TB,RB,-,282.50,-,-,-,-,-,-,-,,,,
260,Dontario Drummond,FA,WR,-,283.00,-,-,-,-,-,-,-,,,,
261,Sherman Badie,FA,RB,-,284.00,-,-,-,-,-,-,-,,,,
262,Ben Sauls,NYG,K,-,285.50,169.84,-,-,-,-,-,-,,,,
263,Malick Meiga,CAR,WR,-,286.50,-,-,-,-,636.50,-,-,,,,
264,Sandro Platzgummer,FA,RB,-,287.00,-,-,-,-,416.00,-,-,,,,
265,Bailey Zappe,NYJ,QB,-,288.00,169.99,-,-,-,-,-,-,,,,
266,Khalil Herbert,SF,RB,-,289.00,170.01,-,-,-,362.00,-,-,,,,
267,Jonnu Smith,FA,TE,-,290.00,170.02,-,251.00,-,482.40,-,-,,,,
268,Zack Moss,FA,RB,-,291.00,170.02,-,-,-,-,-,-,,,Ques,Neck
269,Jamal Pettigrew,FA,TE,-,292.50,-,-,-,-,-,623.50,-,,,,
270,Joe Flacco,CIN,QB,338.17,293.00,169.95,-,258.74,-,302.70,594.00,-,,,,
271,Ty Montgomery,FA,RB,-,294.30,-,-,-,-,-,-,-,,,,
272,Stone Smartt,PHI,TE,-,295.00,170.00,-,-,-,638.50,-,-,,,,
273,Noah Fant,NO,TE,-,296.00,169.99,-,242.10,-,570.30,-,-,,,,
274,Jonathan Brown,FA,K,-,297.00,-,-,-,-,-,-,-,,,,
275,Diontae Johnson,FA,WR,-,298.00,169.99,-,-,-,-,-,-,,,,
276,Ty Chandler,NO,RB,-,299.00,169.99,-,-,-,454.00,-,-,,,,
277,Tyler Badie,DEN,RB,-,300.50,170.10,-,241.15,-,392.00,-,-,,,,
278,Jawhar Jordan,HOU,RB,-,301.00,170.09,-,242.43,-,598.20,-,-,,,,
279,Rocky Lombardi,FA,QB,-,302.00,-,-,-,-,-,-,-,,,,
280,Alex Quevedo,FA,K,-,303.00,-,-,-,-,-,-,-,,,,
281,Lirim Hajrullahu,FA,K,-,304.00,-,-,-,-,-,-,-,,,,
282,Joshua Palmer,BUF,WR,337.15,305.70,169.87,-,244.74,-,541.60,-,-,,,,
283,Easop Winston,FA,WR,-,306.00,-,-,-,-,-,-,-,,,,
284,Tyler Huntley,BAL,QB,334.08,308.00,169.98,-,248.21,-,546.80,-,-,,,,
285,Joshua Karty,FA,K,-,309.00,169.99,-,-,-,-,-,-,,,,
286,Kai Locksley,FA,WR,-,310.00,-,-,-,-,-,-,-,,,,
287,Broc Rutter,FA,QB,-,312.50,-,-,-,-,-,-,-,,,,
288,Mike Nugent,FA,K,-,313.00,-,-,-,-,-,-,-,,,,
289,Toriano Clinton,FA,RB,-,314.00,-,-,-,-,-,-,-,,,,
290,Adam Thielen,MIN,WR,-,316.00,170.02,-,-,-,-,-,-,,,Reserve-Ret,Undisclosed
291,Brett Maher,FA,K,-,317.50,-,-,-,-,-,-,-,,,,
292,Armani Rogers,FA,TE,-,318.00,-,-,-,-,-,-,-,,,,
293,Dillon Gabriel,CLE,QB,-,320.00,169.98,-,240.94,-,-,-,-,,,,
294,Jake Haener,FA,QB,-,321.00,169.99,-,-,-,-,-,-,,,,
295,Anthony Schwartz,FA,WR,-,322.00,-,-,-,-,-,-,-,,,,
296,Dorian Thompson-Robinson,FA,QB,-,323.00,169.97,-,-,-,-,-,-,,,,
297,Dazz Newsome,FA,WR,-,324.00,-,-,-,-,-,-,-,,,,
298,Nathan Peterman,FA,QB,-,325.00,-,-,-,-,448.50,-,-,,,,
299,Adam Trautman,DEN,TE,-,326.50,169.95,-,-,-,661.30,-,-,,,,
300,Tyron Billy-Johnson,FA,WR,-,327.50,-,-,-,-,-,-,-,,,,
301,Alton Howard,FA,WR,-,328.00,-,-,-,-,-,-,-,,,,
302,Austin Aune,FA,QB,-,329.00,-,-,-,-,-,-,-,,,,
303,Aidan O'Connell,LV,QB,-,330.30,169.99,-,-,-,-,-,-,,,,
304,Holton Ahlers,FA,QB,-,331.50,-,-,-,-,-,-,-,,,,
305,Dresser Winn,FA,QB,-,332.00,-,-,-,-,-,-,-,,,,
306,Jameis Winston,NYG,QB,338.58,334.50,169.93,-,254.91,-,311.40,-,-,,,,
307,Drew Allar,PIT,QB,-,335.50,169.94,51.04,-,-,492.80,-,-,3.56,,,
308,Jaron Brown,FA,WR,-,336.00,-,-,-,-,-,-,-,,,,
309,Ashton Dulin,IND,WR,-,337.00,170.00,-,241.70,-,553.50,-,-,,,,
310,A.J. Rose,FA,RB,-,338.00,-,-,-,-,-,-,-,,,,
311,Brandon Lewis,FA,WR,-,339.00,-,-,-,-,458.50,-,-,,,,
312,Jerick McKinnon,FA,RB,-,340.00,-,-,-,-,-,-,-,,,,
313,Michael Gallup,FA,WR,-,342.00,-,-,-,-,-,-,-,,,,
314,Josh Lambo,FA,K,-,343.50,-,-,-,-,-,-,-,,,,
315,Mason Stokke,FA,FB,-,344.00,-,-,-,-,-,-,-,,,,
316,Cade York,NYJ,K,-,345.20,169.95,-,-,-,438.00,-,-,,,,
317,Noah Gray,KC,TE,-,346.00,169.93,-,258.74,-,330.70,691.00,-,,,,
318,Jared Bernhardt,FA,WR,-,347.00,-,-,-,-,-,-,-,,,,
319,Tyler Scott,LAR,WR,-,348.00,169.99,-,-,-,563.80,-,-,,,,
320,Russell Wilson,FA,QB,-,349.00,169.99,-,-,-,-,-,-,,,,
321,Aaron Shampklin,FA,RB,-,351.00,170.00,-,-,-,395.50,-,-,,,,
322,CJ Daniels,LAR,WR,-,352.50,169.94,65.47,241.67,-,523.90,-,-,,,,
323,Tiyon Evans,FA,RB,-,353.00,-,-,-,-,497.60,-,-,,,,
324,John Metchie,CAR,WR,335.50,355.00,169.97,-,242.85,-,536.00,-,-,,0.01,,
325,Jalon Daniels,TB,QB,-,356.00,-,-,-,-,-,-,-,,,,
326,Ben DiNucci,FA,QB,-,357.50,-,-,-,-,-,-,-,,,,
327,Robert Woods,LAR,WR,-,358.00,170.02,-,-,-,-,-,-,,,Reserve-Ret,Undisclosed
328,Zack Kuntz,LV,TE,-,360.00,170.00,-,-,-,447.80,539.50,-,,,,
329,Thomas Odukoya,FA,TE,-,362.00,170.00,-,-,-,503.60,-,-,,,Ques,Undisclosed
330,Keric Wheatfall,FA,WR,-,363.00,-,-,-,-,510.80,-,-,,,,
331,Nate Stanley,FA,QB,-,364.00,-,-,-,-,-,-,-,,,,
332,Demarcus Robinson,SF,WR,-,365.00,169.99,-,243.59,-,574.00,-,-,,,,
333,Jacob Copeland,FA,WR,-,366.00,-,-,-,-,457.90,-,-,,,,
334,Taylen Green,CLE,QB,-,367.30,169.97,72.10,-,-,484.50,-,-,0.69,,,
335,Kendrick Bourne,ARI,WR,324.70,368.50,170.00,-,256.45,-,335.90,-,-,1.02,,,
336,Younghoe Koo,FA,K,-,368.80,169.76,-,-,-,-,561.00,-,,0.02,,
337,Spencer Sanders,FA,QB,-,370.30,-,-,-,-,-,-,-,,,,
338,C.J. Ham,MIN,FB,-,371.50,170.00,-,-,-,-,-,-,,,Reserve-Ret,Undisclosed
339,Chris Naggar,FA,K,-,372.80,-,-,-,-,-,557.50,-,,,,
340,Leddie Brown,FA,RB,-,373.00,-,-,-,-,-,-,-,,,,
341,Pro Wells,FA,TE,-,374.00,-,-,-,-,-,-,-,,,,
342,Cam Sutton,FA,TE,-,375.50,-,-,-,-,-,-,-,,,,
343,Spencer Shrader,IND,K,-,376.90,169.92,-,-,-,-,660.00,-,,,,
344,Caleb Douglas,MIA,WR,-,377.90,170.27,55.78,255.15,-,322.90,636.60,-,1.89,,,
345,Spencer Nigh,FA,FB,-,379.00,-,-,-,-,444.50,-,-,,,,
346,Samson Nacua,FA,WR,-,380.00,-,-,-,-,-,-,-,,,,
347,Kyre Duplessis,SEA,WR,-,381.00,-,-,-,-,582.80,-,-,,,,
348,Parker White,FA,K,-,382.30,-,-,-,-,-,-,168.00,,,,
349,Justin Joly,DEN,TE,-,384.10,169.99,55.01,247.81,-,304.10,673.00,-,1.56,,,
350,Nick Foles,FA,QB,-,385.60,-,-,-,-,360.00,-,-,,,,
351,Zach Wilson,NO,QB,-,386.30,169.96,-,-,-,-,-,-,,,,
352,Eric Gray,NYG,RB,-,386.50,169.99,-,-,-,-,-,-,,,,
353,Jonathan Garibay,FA,K,-,388.30,-,-,-,-,-,529.80,206.50,,,,
354,Seth McGowan,IND,RB,-,389.10,170.15,63.94,253.49,-,498.70,-,-,0.75,,,
355,James Blackman,FA,QB,-,390.30,-,-,-,-,-,-,-,,,,
356,Kyle Juszczyk,SF,FB,-,391.00,169.98,-,241.17,-,475.30,-,-,,,,
357,Stetson Bennett,LAR,QB,-,392.80,169.97,-,-,-,-,-,-,,,,
358,Cade Klubnik,NYJ,QB,-,393.00,169.93,62.74,241.15,-,284.60,698.20,-,1.78,,,
359,Colt McCoy,FA,QB,-,394.00,-,-,-,-,-,-,-,,,,
360,Justin Fields,KC,QB,335.11,398.00,169.86,185.33,257.24,-,248.40,-,-,2.23,,,
361,Albert Okwuegbunam,LV,TE,-,400.50,169.98,-,240.93,-,417.50,-,-,,,,
362,Moliki Matavao,NO,TE,-,401.00,170.00,-,-,-,-,-,-,,,,
363,Naz Bohannon,FA,TE,-,402.00,-,-,-,-,512.80,-,-,,,,
364,Dan Bailey,FA,K,-,403.20,-,-,-,-,390.70,527.50,120.00,,,,
365,Trace McSorley,FA,QB,-,404.00,-,-,-,-,-,-,-,,,,
366,Tyler Bass,BUF,K,-,404.90,169.80,-,-,134.50,431.40,458.10,-,,0.02,,
367,Brenen Thompson,LAC,WR,-,407.00,169.93,52.59,246.77,-,347.10,-,265.50,1.68,,,
368,Cody Fajardo,FA,QB,-,408.80,-,-,-,-,-,-,-,,,,
369,DJ Uiagalelei,LAC,QB,-,411.50,-,-,-,-,-,-,-,,,,
370,Kaden Wetjen,PIT,WR,-,412.00,169.97,63.53,-,-,609.50,-,-,,,,
371,Tyler Goodson,ATL,RB,-,413.00,169.98,-,-,-,386.00,-,-,,,,
372,Stephon Robinson,FA,WR,-,413.50,-,-,-,-,357.00,-,-,,,,
373,Nate Boerkircher,JAX,TE,-,415.50,169.97,62.05,-,-,623.90,-,-,,,,
374,Philip Rivers,FA,QB,-,416.80,169.73,-,-,-,-,-,-,,0.01,,
375,Dominic Zvada,NYG,K,-,417.30,-,-,-,-,479.30,548.00,-,,,,
376,Damon Sheehy-Guiseppi,FA,WR,-,421.00,-,-,-,-,-,-,-,,,,
377,Darren Waller,FA,TE,-,422.00,170.03,-,244.50,-,518.90,-,-,,,Ques,Groin
378,T.Y. Hilton,FA,WR,-,422.50,-,-,-,-,-,-,-,,,,
379,Kyle McCord,GB,QB,-,424.50,169.99,-,-,-,-,-,-,,,,
380,Kenny Pickett,CAR,QB,-,425.00,169.94,-,241.81,-,617.00,-,-,,,,
381,Deion Burks,IND,WR,-,426.00,169.99,65.06,242.51,-,548.30,-,-,,,,
382,Wil Lutz,DEN,K,-,428.70,170.32,-,-,133.50,321.40,325.90,-,1.22,0.05,,
383,Odell Beckham,NYG,WR,-,430.00,169.25,-,242.78,-,463.50,550.00,-,,0.04,,
384,Kameron Brown,FA,WR,-,431.00,-,-,-,-,589.20,-,-,,,,
385,Zavion Thomas,CHI,WR,-,431.10,169.94,51.08,246.56,-,329.10,674.50,-,2.49,,,
386,Nick Sciba,FA,K,-,433.50,-,-,-,-,-,-,-,,,,
387,Bryce Lance,NO,WR,-,435.30,169.96,54.83,249.92,-,494.90,-,-,1.18,,,
388,Mike Rigerman,FA,TE,-,436.00,-,-,-,-,-,-,-,,,,
389,Cole Beasley,FA,WR,-,437.30,-,-,-,-,446.30,-,-,,,,
390,Trey Smack,GB,K,-,439.90,169.53,55.90,-,-,431.70,409.80,-,,0.03,,
391,Jake Bargas,FA,FB,-,441.00,-,-,-,-,-,-,-,,,,
392,Daniel Crawford,FA,TE,-,443.50,-,-,-,-,-,-,-,,,,
393,Charlie Smyth,NO,K,-,444.60,169.98,-,-,-,440.10,-,-,,0.01,,
394,Israel Abanikanda,DAL,RB,-,446.80,169.96,-,-,-,550.10,672.00,-,,,,
395,Matt Gay,LV,K,-,449.40,169.56,-,-,-,421.60,542.80,-,,0.01,,
396,Le'Meke Brockington,ATL,WR,-,449.50,-,-,-,-,-,-,-,,,,
397,Zaire Mitchell-Paden,NO,TE,-,451.50,169.99,-,-,-,516.50,-,-,,,,
398,Ty Simpson,LAR,QB,338.44,452.90,169.90,29.82,252.56,-,190.90,344.30,169.50,10.42,0.01,,
399,Colson Yankoff,WAS,TE,-,453.80,170.00,-,-,-,-,-,-,,,,
400,Mac Jones,SF,QB,335.22,454.90,169.92,191.50,252.57,-,238.60,-,-,1.35,,,
401,Nick Guggemos,FA,TE,-,456.00,-,-,-,-,-,-,-,,,,
402,Andre Szmyt,CLE,K,-,457.00,169.80,-,-,-,385.00,-,-,,,,
403,Jalen Milroe,SEA,QB,-,458.50,169.96,-,240.99,-,306.00,-,257.50,,,,
404,Montana Lemonious-Craig,FA,WR,-,460.80,-,-,-,-,-,-,-,,,Ques,Lower Body
405,Julio Jones,FA,WR,-,461.50,-,-,-,-,483.60,-,-,,,,
406,Nick Chubb,FA,RB,-,462.00,169.96,-,241.73,-,557.50,-,-,,0.01,,
407,Blake Grupe,IND,K,-,463.50,170.22,-,-,-,472.10,555.00,-,,0.01,,
408,John Lovett,FA,RB,-,465.00,-,-,-,-,409.00,-,-,,,,
409,Henry Ruggs,FA,WR,-,466.50,-,-,-,-,412.10,-,-,,,,
410,Jeremy Ruckert,NYJ,TE,-,467.00,169.97,-,-,-,-,-,-,,,,
411,Tarik Black,FA,WR,-,468.00,-,-,-,-,-,-,-,,,,
412,Jamaal Williams,FA,RB,-,469.00,170.01,-,-,-,-,-,-,,,,
413,Lucas Havrisik,FA,K,-,471.80,169.99,-,-,-,-,-,-,,,,
414,Cade Stover,HOU,TE,-,472.30,169.99,-,-,-,651.90,-,-,,,,
415,J.J. McCarthy,MIN,QB,330.98,473.80,169.68,172.58,254.69,-,191.70,401.50,-,,,,
416,Cole Kmet,CHI,TE,327.61,474.00,169.76,-,260.68,-,287.60,-,-,1.15,0.01,,
417,Emani Bailey,FA,RB,-,475.50,-,-,-,-,-,-,-,,,,
T418,Skylar Thompson,BAL,QB,-,476.50,169.99,-,-,-,-,-,-,,,,
T418,Ethan Wolf,FA,TE,-,476.50,-,-,-,-,-,-,-,,,,
420,Ajou Ajou,FA,WR,-,478.50,-,-,-,-,-,-,-,,,,
421,Nikko Remigio,KC,WR,-,480.50,169.98,-,-,-,-,-,-,,,,
422,Eli Heidenreich,PIT,RB,-,481.90,169.96,59.83,248.71,-,556.10,680.20,-,1.73,,,
423,Easton Dean,FA,TE,-,482.00,-,-,-,-,-,-,-,,,,
424,Jack Strand,ATL,QB,-,483.00,-,-,-,-,490.30,-,-,,,,
425,Colbie Young,CIN,WR,-,484.60,169.94,64.51,244.28,-,642.40,-,-,,,,
426,Nick Westbrook-Ikhine,IND,WR,-,485.70,170.10,-,244.08,-,473.40,-,-,,,,
427,Nick Folk,ATL,K,-,485.90,170.00,-,-,129.40,423.00,554.00,-,,0.03,,
428,Joey Slye,TEN,K,-,487.00,169.99,-,-,-,419.00,-,-,,,,
429,Kaden Davis,CHI,WR,-,488.50,169.99,-,-,-,-,-,-,,,,
430,Ray-Ray McCloud,FA,WR,-,490.50,170.00,-,-,-,-,-,-,,,,
431,Titus Swen,FA,RB,-,491.00,-,-,-,-,526.90,-,-,,,,
432,Travon McMillian,FA,RB,-,492.00,-,-,-,-,-,-,-,,,,
433,C.J. Beathard,FA,QB,-,493.00,-,-,-,-,-,-,-,,,,
434,Jaylin Lane,WAS,WR,-,494.00,170.02,-,241.66,-,575.70,-,-,,,,
435,Jordan Whittington,LAR,WR,-,495.00,169.87,-,242.11,-,548.50,-,-,,,,
436,Taysom Hill,FA,TE,-,496.30,170.01,-,241.90,-,445.00,-,-,,,,
437,Trey Palmer,NO,WR,-,497.00,170.00,-,-,-,591.70,-,-,,,,
438,Phillip Lindsay,FA,RB,-,498.50,-,-,-,-,-,-,-,,,,
439,Sergio Castillo,FA,K,-,500.00,-,-,-,-,-,-,-,,,,
440,Deon Jackson,FA,RB,-,501.00,-,-,-,-,-,-,-,,,,
441,Amba Etta-Tawo,FA,WR,-,502.00,-,-,-,-,-,-,-,,,,
442,DeWayne McBride,FA,RB,-,503.20,169.94,-,-,-,485.50,-,-,,,,
443,Evan Hull,ARI,RB,-,503.50,170.00,-,-,-,535.90,-,-,,,,
444,Camerun Peoples,FA,RB,-,505.50,-,-,-,-,-,-,-,,,,
445,Malachi Fields,NYG,WR,279.12,506.30,169.97,42.60,237.98,-,256.10,399.30,184.00,5.58,,,
446,Phil Mafah,DAL,RB,-,507.50,169.97,-,244.59,-,533.20,-,-,,,,
447,Adam Randall,BAL,RB,-,508.80,170.26,49.25,255.19,-,313.00,675.00,-,2.19,,,
448,Jake Bobo,SEA,WR,-,509.50,169.92,-,241.32,-,480.50,-,-,,,Ques,Leg
449,Hassan Hall,FA,RB,-,510.50,-,-,-,-,-,-,-,,,,
450,Terique Owens,FA,WR,-,511.50,-,-,-,-,-,-,-,,,,
T451,Corey Sutton,FA,WR,-,512.50,-,-,-,-,-,-,-,,,,
T451,Cody Parkey,FA,K,-,512.50,-,-,-,-,-,-,-,,,,
453,Matthew Hibner,BAL,TE,-,514.50,169.98,65.57,-,-,573.60,-,-,1.24,,,
454,Jashaun Corbin,FA,RB,-,515.00,-,-,-,-,-,-,-,,,,
455,Cameron Latu,PHI,TE,-,517.00,170.01,-,-,-,-,-,-,,,,
456,Michael Thomas,FA,WR,-,518.00,-,-,-,-,-,-,-,,,,
457,Tim Tebow,FA,TE,-,519.70,-,-,-,-,373.30,620.00,-,,,,
458,Hakeem Butler,DEN,WR,-,520.30,-,-,-,-,-,-,-,,,,
459,Teagan Quitoriano,ARI,TE,-,521.50,170.01,-,-,-,-,-,-,,,,
460,Jake Moody,WAS,K,-,523.90,169.77,-,-,-,426.50,-,-,,0.01,,
461,Keenen Brown,FA,TE,-,524.00,-,-,-,-,-,-,-,,,,
462,Skyler Bell,BUF,WR,314.30,525.20,169.86,46.02,259.91,-,264.10,479.70,248.00,3.59,,,
463,Hendon Hooker,TEN,QB,-,527.50,169.96,-,-,-,461.80,-,-,,,,
464,Patrick Ricard,NYG,FB,-,528.50,170.03,-,-,-,378.00,-,-,,,,
465,Will Kacmarek,MIA,TE,-,529.80,169.95,66.19,-,-,342.00,524.00,-,,,,
T466,A.J. Richardson,FA,WR,-,530.50,-,-,-,-,-,-,-,,,,
T466,Clyde Edwards-Helaire,FA,RB,-,530.50,169.98,-,-,-,-,-,-,,,,
468,Brock Rechsteiner,NO,WR,-,532.00,-,-,-,-,-,-,-,,,,
469,Brock Wright,DET,TE,-,533.00,169.89,-,241.12,-,592.90,-,-,,,,
470,Malik Benson,LV,WR,-,534.30,169.98,74.28,242.28,-,478.30,611.50,-,,,,
471,Carson Beck,ARI,QB,331.92,535.60,169.94,47.44,252.88,-,241.30,667.10,-,7.78,0.01,,
472,Ryan Fitzgerald,CAR,K,-,536.50,169.82,-,-,-,451.80,546.50,-,,0.01,,
473,Clayton Tune,FA,QB,-,537.50,169.99,-,-,-,-,-,-,,,,
474,John Ross,FA,WR,-,538.00,170.02,-,-,-,-,-,-,,,,
475,Haynes King,CAR,QB,-,539.00,-,-,-,-,-,-,-,,,,
476,Ezekiel Elliott,FA,RB,-,540.00,169.97,-,-,-,-,-,-,,,,
477,Fred Brown,FA,WR,-,541.00,-,-,-,-,-,-,-,,,,
478,Isaiah McKenzie,FA,WR,-,542.00,-,-,-,-,-,-,-,,,,
479,Oscar Delp,NO,TE,338.51,543.20,169.97,45.76,253.76,-,299.80,641.50,260.50,2.41,,,
480,Jaylin Noel,HOU,WR,294.34,544.60,171.16,165.88,249.81,-,266.40,439.00,240.00,,0.04,NFI-A,Finger
481,Marvin Mims,DEN,WR,307.49,545.90,170.07,-,261.34,-,276.90,515.70,-,,,,
482,Le'Veon Moss,MIA,RB,-,546.30,-,-,-,-,602.50,-,259.50,,,Reserve-Ret,Undisclosed
483,Kirk Cousins,LV,QB,247.09,547.70,170.09,173.91,235.69,-,184.30,540.00,-,2.98,0.02,,
484,Christian Scotland-Williamson,FA,TE,-,548.50,-,-,-,-,-,-,-,,,,
485,Eli Raridon,NE,TE,-,550.50,169.92,41.12,246.16,-,290.00,476.70,-,4.04,,,
486,Kalil Pimpleton,FA,WR,-,552.00,-,-,-,-,359.00,-,-,,,,
487,Peyton Barber,FA,RB,-,553.00,-,-,-,-,-,-,-,,,,
488,Joe Mixon,FA,RB,-,554.50,169.98,-,244.20,-,275.50,397.00,274.00,,,Ques,Foot
489,Kansei Matsuzawa,LV,K,-,555.80,-,-,-,-,-,669.00,-,,,,
490,Roman Wilson,PIT,WR,-,556.30,169.94,-,241.82,-,485.20,533.00,-,,0.01,,
491,Kendre Miller,NO,RB,-,557.00,170.06,-,243.19,-,310.20,-,-,,,,
492,Tony Brown,FA,WR,-,557.50,170.01,-,-,-,-,-,-,,,,
493,Darnell Washington,PIT,TE,332.66,559.70,169.59,-,259.21,-,246.90,467.30,-,,0.04,,
494,Kaleb Johnson,PIT,RB,325.89,560.80,170.04,-,257.77,-,274.00,434.90,178.00,,,,
495,Ja'Tavion Sanders,CAR,TE,-,561.40,169.99,-,256.62,-,328.80,-,-,,,,
496,Justin Tucker,FA,K,-,562.00,169.53,-,-,-,-,-,-,,0.01,,
497,Brittain Brown,CHI,RB,-,563.00,169.97,-,-,-,-,-,-,,,,
498,Jimmy Kibble,NE,WR,-,564.00,-,-,-,-,-,-,-,,,IR,Undisclosed
499,Keon Coleman,BUF,WR,291.44,565.60,170.05,193.35,249.35,-,268.10,503.90,245.50,,0.01,,
500,Geno Smith,NYJ,QB,274.63,566.40,170.36,136.06,191.12,-,154.20,465.50,-,5.66,0.21,,
501,Chimere Dike,TEN,WR,305.28,568.60,171.03,157.18,237.90,-,247.00,346.10,227.50,1.70,0.06,,
502,Tommy DeVito,NE,QB,-,569.80,169.89,-,243.14,-,440.00,-,-,,,,
503,KaVontae Turpin,DAL,WR,-,570.90,169.82,-,244.03,-,326.10,530.00,-,,,,
