,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Byron Murphy,MIN,CB,-,-,-,,
T350,Sean Murphy-Bunting,ARI,CB,-,-,-,,
T350,Julian Neal,SEA,CB,-,-,-,Ques,Leg
T350,Nik Needham,FA,CB,-,-,-,,
T350,Greg Newsome,NYG,CB,-,-,-,,
T350,Quinton Newsome,ARI,CB,-,-,-,,
T350,Josh Newton,CIN,CB,-,-,-,,
T350,DeCarlos Nicholson,CAR,CB,-,-,-,,
T350,Parry Nickerson,FA,CB,-,-,-,,
T350,Keisean Nixon,GB,CB,-,-,-,,
T350,Drey Norwood,LAR,CB,-,-,-,,
T350,Caleb Offord,LV,CB,-,-,-,,
T350,Jeff Okudah,FA,CB,-,-,-,Ques,Concussion
T350,Jordan Oladokun,FA,CB,-,-,-,,
T350,Donovan Olumba,FA,CB,-,-,-,,
T350,Amani Oruwariye,BAL,CB,-,-,-,,
T350,Jacob Parrish,TB,CB,-,-,-,,
T350,Rico Payton,NYG,CB,-,-,-,IR,Undisclosed
T350,D'Arco Perkins-McAllister,KC,CB,-,-,-,,
T350,Patrick Peterson,FA,CB,-,-,-,,
T350,Bryce Phillips,KC,CB,-,-,-,,
T350,Clark Phillips,ATL,CB,-,-,-,,
T350,Dru Phillips,NYG,CB,-,-,-,,
T350,James Pierre,MIN,CB,-,-,-,,
T350,Jalen Pitre,HOU,CB,-,-,-,,
T350,Derrek Pitts,FA,CB,-,-,-,,
T350,Carlins Platel,FA,CB,-,-,-,,
T350,D'Angelo Ponds,NYJ,CB,-,-,-,Ques,Calf
T350,Darien Porter,LV,CB,-,-,-,,
T350,Daryl Porter,PIT,CB,-,-,-,,
T350,Jackson Porter,FA,CB,-,-,-,,
T350,Joey Porter,PIT,CB,-,-,-,PUP-P,Back
T350,Bobby Price,FA,CB,-,-,-,,
T350,Jayden Price,NO,CB,-,-,-,,
T350,Toriano Pride,BUF,CB,-,-,-,,
T350,Troy Pride,FA,CB,-,-,-,,
T350,De'Antre Prince,FA,CB,-,-,-,,
T350,Nehemiah Pritchett,SEA,CB,-,-,-,,
T350,Karon Prunty,NE,CB,-,-,-,,
T350,Ephesians Prysock,SF,CB,-,-,-,,
T350,Myles Purchase,LAC,CB,-,-,-,,
T350,Brendan Radley-Hiles,FA,CB,-,-,-,,
T350,Ennis Rakestraw,DET,CB,-,-,-,,
T350,D.J. Reed,DET,CB,-,-,-,,
T350,Nikko Reed,LAC,CB,-,-,-,Ques,Hamstring
T350,Michael Reid,NO,CB,-,-,-,,
T350,Shavon Revel,DAL,CB,-,-,-,,
T350,Decamerion Richardson,LV,CB,-,-,-,,
T350,Eli Ricks,FA,CB,-,-,-,,
T350,Quincy Riley,NO,CB,-,-,-,,
T350,Kelee Ringo,PHI,CB,-,-,-,,
T350,Chandler Rivers,BAL,CB,-,-,-,,
T350,Amik Robertson,WAS,CB,-,-,-,,
T350,Nickell Robey-Coleman,FA,CB,-,-,-,,
T350,Ethan Robinson,MIA,CB,-,-,-,,
T350,Jaden Robinson,DEN,CB,-,-,-,,
T350,Jakob Robinson,SF,CB,-,-,-,Ques,Forearm
T350,Marquise Robinson,BAL,CB,-,-,-,,
T350,Micah Robinson,TEN,CB,-,-,-,,
T350,Robert Rochell,CAR,CB,-,-,-,,
T350,Isaiah Rodgers,MIN,CB,-,-,-,,
T350,Eric Rogers,LAC,CB,-,-,-,Ques,Undisclosed
T350,Christian Roland-Wallace,KC,CB,-,-,-,Ques,Back
T350,D'Angelo Ross,CLE,CB,-,-,-,,
T350,De'Shawn Rucker,DET,CB,-,-,-,,
T350,Darius Rush,WAS,CB,-,-,-,,
T350,KeiVarae Russell,FA,CB,-,-,-,,
T350,Mike Sainristil,WAS,CB,-,-,-,,
T350,Asante Samuel,PIT,CB,-,-,-,,
T350,Marcus Sayles,FA,CB,-,-,-,,
T350,Eric Scott,FA,CB,-,-,-,,
T350,Keionte Scott,TB,CB,-,-,-,,
T350,Kevon Seymour,FA,CB,-,-,-,,
T350,Kendall Sheffield,FA,CB,-,-,-,Ques,Undisclosed
T350,Duke Shelley,FA,CB,-,-,-,,
T350,Rodney Shelley,LAC,CB,-,-,-,,
T350,Jaylin Simpson,GB,CB,-,-,-,,
T350,Doneiko Slaughter,PIT,CB,-,-,-,,
T350,Darius Slay,FA,CB,-,-,-,Reserve-Ret,Undisclosed
T350,Avery Smith,LAC,CB,-,-,-,,
T350,Cam Smith,FA,CB,-,-,-,,
T350,Jaylin Smith,HOU,CB,-,-,-,,
T350,Keidron Smith,NYJ,CB,-,-,-,,
T350,Melvin Smith,KC,CB,-,-,-,,
T350,Terell Smith,CHI,CB,-,-,-,Ques,Knee
T350,Tremon Smith,HOU,CB,-,-,-,,
T350,Chau Smith-Wade,CAR,CB,-,-,-,,
T350,L'Jarius Sneed,KC,CB,-,-,-,,
T350,Ameer Speed,DAL,CB,-,-,-,,
T350,Benjamin St-Juste,GB,CB,-,-,-,,
T350,Brandon Stephens,NYJ,CB,-,-,-,Ques,Neck
T350,Tyrique Stevenson,CHI,CB,-,-,-,,
T350,Reddy Steward,DAL,CB,-,-,-,,
T350,Qwan'tez Stiggers,NYJ,CB,-,-,-,Ques,Knee
T350,Tarheeb Still,LAC,CB,-,-,-,,
T350,Derek Stingley,HOU,CB,-,-,-,,
T350,Eric Stokes,LV,CB,-,-,-,,
T350,Upton Stout,SF,CB,-,-,-,,
T350,Greg Stroman,FA,CB,-,-,-,,
T350,Dorian Strong,BUF,CB,-,-,-,NFI-R,Neck
T350,Patrick Surtain,DEN,CB,-,-,-,,
T350,Cameron Sutton,FA,CB,-,-,-,,
T350,T.J. Tampa,BAL,CB,-,-,-,,
T350,Alontae Taylor,TEN,CB,-,-,-,,
T350,Ja'Sir Taylor,CIN,CB,-,-,-,,
T350,Keith Taylor,FA,CB,-,-,-,Ques,Undisclosed
T350,Reese Taylor,DEN,CB,-,-,-,,
T350,Cam Taylor-Britt,IND,CB,-,-,-,,
T350,A.J. Terrell,ATL,CB,-,-,-,,
T350,Avieon Terrell,ATL,CB,-,-,-,,
T350,Ambry Thomas,PHI,CB,-,-,-,,
T350,Azareye'h Thomas,NYJ,CB,-,-,-,,
T350,Starling Thomas,ARI,CB,-,-,-,,
T350,Tavierre Thomas,MIN,CB,-,-,-,,
T350,Stantley Thomas-Oliver,FA,CB,-,-,-,,
T350,NaJee Thompson,FA,CB,-,-,-,,
T350,Corey Thornton,CAR,CB,-,-,-,,
T350,Tre Tomlinson,FA,CB,-,-,-,,
T350,Cory Trice,FA,CB,-,-,-,Ques,Knee
T350,DJ Turner,CIN,CB,-,-,-,,
T350,Carrington Valentine,GB,CB,-,-,-,Ques,Leg
T350,Greedy Vance,LV,CB,-,-,-,,
T350,Zemaiah Vaughn,MIN,CB,-,-,-,,
T350,Zelmar Vedder,KC,CB,-,-,-,,
T350,David Vereen,FA,CB,-,-,-,,
T350,Car'lin Vigers,WAS,CB,-,-,-,,
T350,Kindle Vildor,NE,CB,-,-,-,,
T350,Shaun Wade,PHI,CB,-,-,-,,
T350,Kani Walker,BUF,CB,-,-,-,,
T350,Josh Wallace,LAR,CB,-,-,-,,
T350,Levi Wallace,FA,CB,-,-,-,,
T350,Justin Walley,IND,CB,-,-,-,,
T350,Charvarius Ward,IND,CB,-,-,-,,
T350,Denzel Ward,CLE,CB,-,-,-,,
T350,Jaylen Watson,LAR,CB,-,-,-,,
T350,Isas Waxter,LAC,CB,-,-,-,,
T350,Sam Webb,DEN,CB,-,-,-,,
T350,Chris Westry,FA,CB,-,-,-,,
T350,Ryan White,FA,CB,-,-,-,,
T350,Tre'Davious White,FA,CB,-,-,-,,
T350,Nick Whiteside,DET,CB,-,-,-,,
T350,Nate Wiggins,BAL,CB,-,-,-,,
T350,Damarion Williams,TB,CB,-,-,-,,
T350,Darious Williams,LAR,CB,-,-,-,Reserve-Ret,Undisclosed
T350,Dee Williams,FA,CB,-,-,-,,
T350,Garrett Williams,ARI,CB,-,-,-,PUP-P,Achilles
T350,Jaylin Williams,FA,CB,-,-,-,,
T350,Josh Williams,TEN,CB,-,-,-,,
T350,Nohl Williams,KC,CB,-,-,-,,
T350,Divaad Wilson,FA,CB,-,-,-,Ques,Undisclosed
T350,Marco Wilson,MIA,CB,-,-,-,,
T350,Ahkello Witherspoon,WAS,CB,-,-,-,Reserve-Ret,Undisclosed
T350,Devon Witherspoon,SEA,CB,-,-,-,,
T350,Samuel Womack,NYJ,CB,-,-,-,,
T350,A.J. Woods,ATL,CB,-,-,-,,
T350,Charles Woods,NE,CB,-,-,-,,
T350,Riq Woolen,PHI,CB,-,-,-,,
T350,Ceyair Wright,CIN,CB,-,-,-,,
T350,Collin Wright,HOU,CB,-,-,-,,
T350,Nahshon Wright,NYJ,CB,-,-,-,,
T350,Rejzohn Wright,NO,CB,-,-,-,,
T350,Rock Ya-Sin,DET,CB,-,-,-,,
T350,Isaac Yiadom,NO,CB,-,-,-,,
T350,Abu Daramy-Swaray,FA,DB,-,-,-,,
T350,Mario Addison,FA,DE,-,-,-,,
T350,David Agoha,FA,DE,-,-,-,,
T350,Brevin Allen,FA,DE,-,-,-,,
T350,Henry Anderson,FA,DE,-,-,-,,
T350,Ryder Anderson,FA,DE,-,-,-,,
T350,Will Anderson,HOU,DE,-,-,-,,
T350,Vincent Anthony,KC,DE,-,-,-,,
T350,Felix Anudike-Uzomah,KC,DE,-,-,-,,
T350,Dorance Armstrong,WAS,DE,-,-,-,PUP-P,Knee - ACL
T350,Denico Autry,FA,DE,-,-,-,,
T350,Genard Avery,FA,DE,-,-,-,,
T350,Allen Bailey,FA,DE,-,-,-,,
T350,David Bailey,NYJ,DE,-,-,-,,
T350,Derek Barnett,FA,DE,-,-,-,,
T350,Tyler Baron,NYJ,DE,-,-,-,PUP-P,Knee
T350,Alex Barrett,FA,DE,-,-,-,,
T350,Robert Beal,MIA,DE,-,-,-,,
T350,Rayshaun Benny,BAL,DE,-,-,-,,
T350,Rashod Berry,FA,DE,-,-,-,,
T350,Angelo Blackson,FA,DE,-,-,-,,
T350,Austin Booker,CHI,DE,-,-,-,,
T350,Joey Bosa,FA,DE,-,-,-,,
T350,Nick Bosa,SF,DE,-,-,-,Ques,Knee - ACL
T350,Derrick Brown,CAR,DE,-,-,-,,
T350,Earnest Brown,TEN,DE,-,-,-,,
T350,Markaviest Bryant,FA,DE,-,-,-,,
T350,Jonathan Bullard,DAL,DE,-,-,-,,
T350,Jordan Burch,ARI,DE,-,-,-,,
T350,Ethan Burke,BAL,DE,-,-,-,,
T350,Solomon Byrd,HOU,DE,-,-,-,,
T350,Calais Campbell,BAL,DE,-,-,-,,
T350,Andre Carter,FA,DE,-,-,-,,
T350,T.J. Carter,FA,DE,-,-,-,,
T350,Bradley Chubb,BUF,DE,-,-,-,,
T350,Adrian Clayborn,FA,DE,-,-,-,,
T350,Micheal Clemons,IND,DE,-,-,-,,
T350,Kameron Cline,FA,DE,-,-,-,,
T350,Jadeveon Clowney,HOU,DE,-,-,-,,
T350,Myles Cole,NO,DE,-,-,-,,
T350,Seth Coleman,MIA,DE,-,-,-,,
T350,Gus Cumberlander,FA,DE,-,-,-,,
T350,Caden Curry,IND,DE,-,-,-,,
T350,Mike Danna,BUF,DE,-,-,-,,
T350,Marcus Davenport,FA,DE,-,-,-,,
T350,Devean Deal,FA,DE,-,-,-,,
T350,Ethan Downs,KC,DE,-,-,-,IR,Knee - ACL
T350,Anthony Dunn,KC,DE,-,-,-,,
T350,Quindarius Dunnigan,JAX,DE,-,-,-,,
T350,Zach Durfee,JAX,DE,-,-,-,,
T350,Samson Ebukam,ATL,DE,-,-,-,,
T350,Paschal Ekeji,NYJ,DE,-,-,-,,
T350,A.J. Epenesa,PHI,DE,-,-,-,,
T350,Logan Fano,CLE,DE,-,-,-,,
T350,Keldric Faulk,TEN,DE,-,-,-,,
T350,Viliami Fehoko,FA,DE,-,-,-,,
T350,Clelin Ferrell,MIA,DE,-,-,-,,
T350,Michael Fletcher,FA,DE,-,-,-,,
T350,Leonard Floyd,FA,DE,-,-,-,,
T350,Isaiah Foskey,CIN,DE,-,-,-,,
T350,Morgan Fox,FA,DE,-,-,-,,
T350,John Franklin-Myers,TEN,DE,-,-,-,,
T350,Amari Gainer,NE,DE,-,-,-,,
T350,Jalan Gaines,SEA,DE,-,-,-,,
T350,Patrick Gamble,FA,DE,-,-,-,,
T350,Myles Garrett,LAR,DE,-,-,-,Ques,Lower Body
T350,Jonathan Garvin,CHI,DE,-,-,-,,
T350,Joe Gaziano,FA,DE,-,-,-,,
T350,William Gholston,FA,DE,-,-,-,,
T350,Ashton Gillotte,KC,DE,-,-,-,Ques,Hamstring
T350,Anthony Goodlow,PIT,DE,-,-,-,,
T350,Ta'Quon Graham,FA,DE,-,-,-,,
T350,Carl Granderson,NO,DE,-,-,-,,
T350,BJ Green,JAX,DE,-,-,-,,
T350,Yetur Gross-Matos,FA,DE,-,-,-,,
T350,George Gumbs,IND,DE,-,-,-,,
T350,Logan Hall,HOU,DE,-,-,-,,
T350,Jalen Harris,FA,DE,-,-,-,,
T350,Zach Harrison,ATL,DE,-,-,-,NFI-A,Undisclosed
T350,Sabastian Harsh,HOU,DE,-,-,-,,
T350,Jahfari Harvey,LV,DE,-,-,-,,
T350,Ahmed Hassanein,DET,DE,-,-,-,,
T350,Michael Heldman,NO,DE,-,-,-,,
T350,Trey Hendrickson,BAL,DE,-,-,-,,
T350,KJ Henry,SF,DE,-,-,-,,
T350,Malik Herring,TEN,DE,-,-,-,,
T350,Josh Hines-Allen,JAX,DE,-,-,-,,
T350,Michael Hoecht,BUF,DE,-,-,-,Ques,Achilles
T350,Jalyn Holmes,TEN,DE,-,-,-,,
T350,Xavier Holmes,NE,DE,-,-,-,,
T350,Dylan Horton,HOU,DE,-,-,-,,
T350,Cashius Howell,CIN,DE,-,-,-,,
T350,Aidan Hubbard,SEA,DE,-,-,-,,
T350,Sam Hubbard,FA,DE,-,-,-,,
T350,Bryce Huff,FA,DE,-,-,-,,
T350,Jerry Hughes,FA,DE,-,-,-,,
T350,Kody Huisman,BUF,DE,-,-,-,,
T350,Adin Huntington,CLE,DE,-,-,-,,
T350,Quintayvious Hutchins,NE,DE,-,-,-,Ques,Undisclosed
T350,Aidan Hutchinson,DET,DE,-,-,-,,
T350,Gabe Jacas,NE,DE,-,-,-,,
T350,Landon Jackson,BUF,DE,-,-,-,Ques,Knee
T350,Tarron Jackson,FA,DE,-,-,-,Ques,Undisclosed
T350,Keyshawn James-Newby,PHI,DE,-,-,-,Ques,Ankle
T350,Javontae Jean-Baptiste,WAS,DE,-,-,-,Ques,Pectoral
T350,Cedric Johnson,CIN,DE,-,-,-,,
T350,Desjuan Johnson,LAR,DE,-,-,-,,
T350,DJ Johnson,WAS,DE,-,-,-,,
T350,Jermaine Johnson,TEN,DE,-,-,-,,
T350,Kingsley Jonathan,NYJ,DE,-,-,-,,
T350,Andre Jones,BUF,DE,-,-,-,,
T350,Chandler Jones,FA,DE,-,-,-,,
T350,Marvin Jones,SEA,DE,-,-,-,,
T350,Sai'vion Jones,DEN,DE,-,-,-,,
T350,Cameron Jordan,NO,DE,-,-,-,,
T350,Drew Jordan,FA,DE,-,-,-,,
T350,Daniel Joseph,FA,DE,-,-,-,,
T350,Joshua Josephs,WAS,DE,-,-,-,,
T350,Matthew Judon,FA,DE,-,-,-,,
T350,George Karlaftis,KC,DE,-,-,-,,
T350,Malcolm Koonce,LV,DE,-,-,-,,
T350,Tanoh Kpassagnon,FA,DE,-,-,-,,
T350,Tyler Lacy,DET,DE,-,-,-,,
T350,Isaiah Land,DAL,DE,-,-,-,,
T350,Laiatu Latu,IND,DE,-,-,-,,
T350,Shaq Lawson,FA,DE,-,-,-,,
T350,Tevin Lawson,FA,DE,-,-,-,,
T350,DeMarvin Leal,FA,DE,-,-,-,,
T350,Titus Leo,SF,DE,-,-,-,,
T350,Tyquan Lewis,FA,DE,-,-,-,,
T350,Max Llewellyn,MIA,DE,-,-,-,,
T350,LaCale London,ATL,DE,-,-,-,,
T350,Isaiahh Loudermilk,MIN,DE,-,-,-,,
T350,Dean Lowry,PIT,DE,-,-,-,,
T350,Anthony Lucas,DET,DE,-,-,-,,
T350,T.J. Maguranyanga,WAS,DE,-,-,-,,
T350,Jeremiah Martin,CHI,DE,-,-,-,,
T350,Will McDonald,NYJ,DE,-,-,-,,
T350,Braiden McGregor,NYJ,DE,-,-,-,,
T350,Isaiah McGuire,CLE,DE,-,-,-,,
T350,Takkarist McKinley,FA,DE,-,-,-,,
T350,TK McLendon,FA,DE,-,-,-,,
T350,Mitchell Melton,IND,DE,-,-,-,,
T350,Eli Mencer,FA,DE,-,-,-,,
T350,Von Miller,FA,DE,-,-,-,,
T350,DaMarcus Mitchell,FA,DE,-,-,-,,
T350,Damontre Moore,FA,DE,-,-,-,,
T350,Derrick Moore,DET,DE,-,-,-,Ques,Groin
T350,Mike Morris,SEA,DE,-,-,-,,
T350,Al-Quadin Muhammad,TB,DE,-,-,-,,
T350,Myles Murphy,CIN,DE,-,-,-,,
T350,Mapalo Mwansa,CAR,DE,-,-,-,,
T350,Durell Nchami,IND,DE,-,-,-,,
T350,CJ Nunnally,FA,DE,-,-,-,,
T350,Patrick O'Connor,FA,DE,-,-,-,,
T350,Eric O'Neill,DET,DE,-,-,-,,
T350,Efe Obada,FA,DE,-,-,-,,
T350,Adedayo Odeleye,DAL,DE,-,-,-,,
T350,Dayo Odeyingbo,CHI,DE,-,-,-,Ques,Achilles
T350,Emmanuel Ogbah,FA,DE,-,-,-,,
T350,Kehinde Oginni,FA,DE,-,-,-,,
T350,Sam Okuayinonu,SF,DE,-,-,-,,
T350,Julian Okwara,CLE,DE,-,-,-,,
T350,Charles Omenihu,WAS,DE,-,-,-,,
T350,Joseph Ossai,NYJ,DE,-,-,-,PUP-P,Undisclosed
T350,Esezi Otomewo,PIT,DE,-,-,-,,
T350,LT Overton,DAL,DE,-,-,-,,
T350,JoJo Ozougwu,FA,DE,-,-,-,,
T350,Josh Paschal,FA,DE,-,-,-,,
T350,Scott Patchan,FA,DE,-,-,-,,
T350,Kwity Paye,LV,DE,-,-,-,,
T350,Antwaun Powell-Ryland,CIN,DE,-,-,-,,
T350,Joshua Pryor,FA,DE,-,-,-,,
T350,C.J. Ravenell,FA,DE,-,-,-,Ques,Undisclosed
T350,LaBryan Ray,CAR,DE,-,-,-,,
T350,Elijah Roberts,TB,DE,-,-,-,,
T350,Cameron Robertson,ARI,DE,-,-,-,,
T350,A'Shawn Robinson,TB,DE,-,-,-,,
T350,Chop Robinson,MIA,DE,-,-,-,,
T350,Darius Robinson,ARI,DE,-,-,-,,
T350,Dominique Robinson,HOU,DE,-,-,-,,
T350,Janarius Robinson,FA,DE,-,-,-,,
T350,Greg Rousseau,BUF,DE,-,-,-,,
T350,Cameron Sample,SF,DE,-,-,-,Ques,Knee
T350,Tyreak Sapp,CLE,DE,-,-,-,,
T350,Cian Slone,LV,DE,-,-,-,,
T350,Elerson Smith,FA,DE,-,-,-,,
T350,Preston Smith,FA,DE,-,-,-,,
T350,Za'Darius Smith,FA,DE,-,-,-,,
T350,Dawuane Smoot,FA,DE,-,-,-,,
T350,Charles Snowden,DAL,DE,-,-,-,IR,Undisclosed
T350,Javon Solomon,BUF,DE,-,-,-,,
T350,Shemar Stewart,CIN,DE,-,-,-,Ques,Knee
T350,Dante Stills,ARI,DE,-,-,-,,
T350,Danny Striggow,JAX,DE,-,-,-,,
T350,Montez Sweat,CHI,DE,-,-,-,,
T350,Khordae Sydnor,CLE,DE,-,-,-,,
T350,Mika Tafua,FA,DE,-,-,-,,
T350,Myron Tagovailoa-Amosa,FA,DE,-,-,-,,
T350,Darrell Taylor,FA,DE,-,-,-,,
T350,Bryan Thomas,JAX,DE,-,-,-,,
T350,Cameron Thomas,ATL,DE,-,-,-,,
T350,R Mason Thomas,KC,DE,-,-,-,,
T350,BJ Thompson,FA,DE,-,-,-,,
T350,Tariqious Tisdale,FA,DE,-,-,-,,
T350,Casey Toohill,FA,DE,-,-,-,,
T350,Joe Tryon-Shoyinka,PHI,DE,-,-,-,Reserve-Ret,Undisclosed
T350,JT Tuimoloau,IND,DE,-,-,-,,
T350,Payton Turner,DET,DE,-,-,-,,
T350,Isaac Ukwu,FA,DE,-,-,-,,
T350,Brent Urban,FA,DE,-,-,-,,
T350,DeMarcus Walker,FA,DE,-,-,-,,
T350,Travon Walker,JAX,DE,-,-,-,,
T350,Eric Watts,NYJ,DE,-,-,-,,
T350,Markees Watts,CLE,DE,-,-,-,Reserve-Ret,Undisclosed
T350,Joshua Weru,PHI,DE,-,-,-,,
T350,Tyre West,DET,DE,-,-,-,,
T350,Tyrus Wheat,DAL,DE,-,-,-,,
T350,Keion White,SF,DE,-,-,-,Ques,Groin
T350,Cullen Wick,FA,DE,-,-,-,,
T350,Elijah Williams,MIN,DE,-,-,-,Ques,Ankle
T350,Jonah Williams,ARI,DE,-,-,-,,
T350,Leonard Williams,SEA,DE,-,-,-,,
T350,Mykel Williams,SF,DE,-,-,-,PUP-P,Knee - ACL
T350,Sam Williams,DAL,DE,-,-,-,,
T350,Wesley Williams,JAX,DE,-,-,-,,
T350,Tyree Wilson,NO,DE,-,-,-,,
T350,Zion Wilson,PHI,DE,-,-,-,,
T350,Billy Winn,FA,DE,-,-,-,,
T350,Deatrich Wise,WAS,DE,-,-,-,PUP-P,Quadriceps
T350,Colby Wooden,IND,DE,-,-,-,,
T350,Chris Wormley,FA,DE,-,-,-,,
T350,Alex Wright,CLE,DE,-,-,-,,
T350,Montravius Adams,FA,DT,-,-,-,,
T350,Myles Adams,DET,DT,-,-,-,,
T350,Adetomiwa Adebawore,IND,DT,-,-,-,,
T350,Tommy Akingbesote,BUF,DT,-,-,-,,
T350,Darius Alexander,NYG,DT,-,-,-,,
T350,Carlos Allen,ATL,DT,-,-,-,,
T350,Jonathan Allen,CIN,DT,-,-,-,,
T350,Zach Allen,DEN,DT,-,-,-,,
T350,Abdullah Anderson,FA,DT,-,-,-,,
T350,Evan Anderson,FA,DT,-,-,-,,
T350,Eli Ankou,FA,DT,-,-,-,,
T350,Arik Armstead,JAX,DT,-,-,-,,
T350,Popo Aumavae,FA,DT,-,-,-,,
T350,Dominic Bailey,HOU,DT,-,-,-,,
T350,Cameron Ball,IND,DT,-,-,-,,
T350,Caleb Banks,MIN,DT,-,-,-,,
T350,Ricky Barber,WAS,DT,-,-,-,,
T350,Christian Barmore,NE,DT,-,-,-,,
T350,Anquin Barnes,NYG,DT,-,-,-,,
T350,Dante Barnett,FA,DT,-,-,-,,
T350,Nick Barrett,LAC,DT,-,-,-,,
T350,Kyon Barrs,CAR,DT,-,-,-,,
T350,Ben Barten,NYJ,DT,-,-,-,,
T350,Kyler Baugh,PIT,DT,-,-,-,,
T350,Travis Bell,CLE,DT,-,-,-,,
T350,Keeanu Benton,PIT,DT,-,-,-,,
T350,Uar Bernard,PHI,DT,-,-,-,,
T350,Zeek Biggers,MIA,DT,-,-,-,,
T350,Andrew Billings,ARI,DT,-,-,-,,
T350,Josh Black,FA,DT,-,-,-,,
T350,Yahya Black,PIT,DT,-,-,-,,
T350,Ross Blacklock,FA,DT,-,-,-,,
T350,David Blay,NE,DT,-,-,-,,
T350,Quinton Bohanna,JAX,DT,-,-,-,,
T350,T.J. Bollers,JAX,DT,-,-,-,,
T350,Anthony Booker,FA,DT,-,-,-,,
T350,Thomas Booker,LV,DT,-,-,-,,
T350,Khristian Boyd,NO,DT,-,-,-,,
T350,Bryan Bresee,NO,DT,-,-,-,Out,Knee - ACL
T350,Cole Brevard,KC,DT,-,-,-,,
T350,C.J. Brewer,FA,DT,-,-,-,,
T350,Jowon Briggs,NYJ,DT,-,-,-,,
T350,Warren Brinson,GB,DT,-,-,-,,
T350,Karl Brooks,GB,DT,-,-,-,,
T350,Vernon Broughton,NO,DT,-,-,-,,
T350,Bobby Brown,CAR,DT,-,-,-,,
T350,Taven Bryan,FA,DT,-,-,-,Ques,Knee
T350,DeForest Buckner,IND,DT,-,-,-,,
T350,Adam Butler,LV,DT,-,-,-,,
T350,Matthew Butler,MIA,DT,-,-,-,,
T350,Jamaree Caldwell,LAC,DT,-,-,-,,
T350,Anthony Campbell,GB,DT,-,-,-,,
T350,DeMonte Capehart,TB,DT,-,-,-,,
T350,DeWayne Carter,BUF,DT,-,-,-,,
T350,Jahmeer Carter,LAC,DT,-,-,-,,
T350,Jalen Carter,PHI,DT,-,-,-,,
T350,Zach Carter,ARI,DT,-,-,-,,
T350,Elijah Chatman,CLE,DT,-,-,-,,
T350,Kenny Clark,DAL,DT,-,-,-,,
T350,Brandon Cleveland,LV,DT,-,-,-,,
T350,Keondre Coburn,FA,DT,-,-,-,,
T350,L.J. Collier,ARI,DT,-,-,-,,
T350,Alfred Collins,SF,DT,-,-,-,,
T350,Maliek Collins,CLE,DT,-,-,-,PUP-P,Quadriceps
T350,Keith Cooper,MIA,DT,-,-,-,,
T350,Parker Cothren,FA,DT,-,-,-,,
T350,Byron Cowart,FA,DT,-,-,-,Ques,Ankle
T350,Howard Cross,CIN,DT,-,-,-,,
T350,Jaden Crumedy,GB,DT,-,-,-,,
T350,D.J. Davidson,WAS,DT,-,-,-,,
T350,Marlon Davidson,NYG,DT,-,-,-,,
T350,Carl Davis,FA,DT,-,-,-,,
T350,Jordan Davis,PHI,DT,-,-,-,,
T350,Kalia Davis,CLE,DT,-,-,-,,
T350,Raekwon Davis,FA,DT,-,-,-,,
T350,Tyler Davis,LAR,DT,-,-,-,,
T350,Sheldon Day,FA,DT,-,-,-,,
T350,Branson Deen,FA,DT,-,-,-,,
T350,Gervon Dexter,CHI,DT,-,-,-,,
T350,Matt Dickerson,JAX,DT,-,-,-,,
T350,Aaron Donald,FA,DT,-,-,-,,
T350,Brandon Dorlus,ATL,DT,-,-,-,,
T350,Tommy Dunn,DAL,DT,-,-,-,,
T350,Zane Durant,BUF,DT,-,-,-,,
T350,Cory Durden,NE,DT,-,-,-,,
T350,Michael Dwumfour,FA,DT,-,-,-,,
T350,Bryson Eason,SF,DT,-,-,-,,
T350,Deven Eastern,SEA,DT,-,-,-,,
T350,Justin Eboigbe,LAC,DT,-,-,-,,
T350,Mario Edwards,HOU,DT,-,-,-,,
T350,TeRah Edwards,LAC,DT,-,-,-,,
T350,Daniel Ekuale,FA,DT,-,-,-,Ques,Knee - ACL
T350,Jordan Elliott,TEN,DT,-,-,-,,
T350,Jabari Ellis,FA,DT,-,-,-,,
T350,Noah Elliss,FA,DT,-,-,-,,
T350,Prince Emili,FA,DT,-,-,-,,
T350,James Ester,MIA,DT,-,-,-,,
T350,Joshua Farmer,NE,DT,-,-,-,,
T350,Neil Farrell,FA,DT,-,-,-,,
T350,Folorunso Fatukasi,FA,DT,-,-,-,,
T350,Braden Fiske,LAR,DT,-,-,-,,
T350,Jonathan Ford,GB,DT,-,-,-,,
T350,Poona Ford,LAR,DT,-,-,-,,
T350,Leki Fotu,NYG,DT,-,-,-,,
T350,Josh Fuga,FA,DT,-,-,-,,
T350,Greg Gaines,FA,DT,-,-,-,,
T350,Neville Gallimore,CHI,DT,-,-,-,,
T350,Elijah Garcia,CAR,DT,-,-,-,,
T350,Haskell Garrett,FA,DT,-,-,-,,
T350,Skyler Gill-Howard,DET,DT,-,-,-,,
T350,Kelvin Gilliam,DAL,DT,-,-,-,,
T350,Kevin Givens,SF,DT,-,-,-,,
T350,Davon Godchaux,NO,DT,-,-,-,,
T350,Eddie Goldman,FA,DT,-,-,-,,
T350,Bernard Gooden,FA,DT,-,-,-,,
T350,Monkell Goodwine,FA,DT,-,-,-,Ques,Undisclosed
